Name,intensity_x,intensity_y,unnormalized_intensity,label
seq1186_all_clean_seqs_gap0_no20_0.4,1022.6545789082666,6576.01425248464,5530.319086955885,cooperative
seq1187_all_clean_seqs_gap0_no20_0.4,907.0013762779749,8348.765906092758,6987.919129040875,cooperative
seq1188_all_clean_seqs_gap0_no20_0.4,396.949052639676,491.6027731897491,527.566213911255,independent
seq1189_all_clean_seqs_gap0_no20_0.4,477.46082474226796,460.87033418501227,502.29724614833947,independent
seq118_all_clean_seqs_gap0_no20_0.4,677.9016433108175,574.7855018082768,595.9611007462685,independent
seq1190_all_clean_seqs_gap0_no20_0.4,1614.7660469003,2541.8586960301604,2213.337096332785,cooperative
seq1191_all_clean_seqs_gap0_no20_0.4,580.6307510744734,7363.465922289848,6177.78123130749,cooperative
seq1192_all_clean_seqs_gap0_no20_0.4,8964.98419840377,13871.839586837528,11529.126247988905,independent
seq1193_all_clean_seqs_gap0_no20_0.4,1157.796703869625,2106.001018303304,1854.96418600173,cooperative
seq1194_all_clean_seqs_gap0_no20_0.4,1404.1330753354,2232.58164253437,1959.041890755705,independent
seq1195_all_clean_seqs_gap0_no20_0.4,1401.42911429633,15608.253430583307,12956.848448427649,cooperative
seq1196_all_clean_seqs_gap0_no20_0.4,518.409297700774,821.9763278851385,799.207482019878,cooperative
seq1198_all_clean_seqs_gap0_no20_0.4,456.6433019241555,901.0042276373065,864.186166298749,cooperative
seq1199_all_clean_seqs_gap0_no20_0.4,4450.41428173855,28922.60198441932,23904.23353358955,cooperative
seq119_all_clean_seqs_gap0_no20_0.4,450.56864145737654,512.8496979820521,545.0359584230735,independent
seq1200_all_clean_seqs_gap0_no20_0.4,735.2992926564266,1059.3052766656024,994.3451850513829,cooperative
seq1201_all_clean_seqs_gap0_no20_0.4,797.363264528409,1686.0652073783212,1509.682626437855,cooperative
seq1202_all_clean_seqs_gap0_no20_0.4,453.097071449118,595.5278325792281,613.0159556342295,independent
seq1203_all_clean_seqs_gap0_no20_0.4,570.9174656261614,852.9356369643615,824.6629879419575,independent
seq1204_all_clean_seqs_gap0_no20_0.4,474.9828135413745,570.6676011886595,592.5752615035075,cooperative
seq1205_all_clean_seqs_gap0_no20_0.4,707.028113244002,680.4358312211075,682.8294019462725,independent
seq1206_all_clean_seqs_gap0_no20_0.4,670.4530082715385,4957.219475136444,4199.3061778508545,cooperative
seq1207_all_clean_seqs_gap0_no20_0.4,2294.321680481475,4044.473486533282,3448.8239607320347,cooperative
seq1208_all_clean_seqs_gap0_no20_0.4,478.6771846749895,386.29586464339513,440.980281800238,independent
seq1209_all_clean_seqs_gap0_no20_0.4,456.7375164526545,355.92560286031403,416.009105063185,ambiguous
seq120_all_clean_seqs_gap0_no20_0.4,2592.2306252062,6915.2266712884775,5809.2278866842,cooperative
seq1212_all_clean_seqs_gap0_no20_0.4,1546.2055022274849,1793.8403716882658,1598.29801918853,independent
seq1213_all_clean_seqs_gap0_no20_0.4,463.91867500482647,404.3810699620002,455.85038274182295,independent
seq1214_all_clean_seqs_gap0_no20_0.4,581.8398669670635,3521.116795221426,3018.5072078304147,cooperative
seq1215_all_clean_seqs_gap0_no20_0.4,1478.06565423966,7164.578358645198,6014.250981287085,cooperative
seq1217_all_clean_seqs_gap0_no20_0.4,406.6622930053515,1640.8909982079847,1472.5392797915151,cooperative
seq121_all_clean_seqs_gap0_no20_0.4,459.2183235464395,427.99167614722614,475.26360427186205,independent
seq1220_all_clean_seqs_gap0_no20_0.4,4323.295951161304,28987.800468125955,23957.841331614298,cooperative
seq1222_all_clean_seqs_gap0_no20_0.4,486.31961483789246,687.2243479682556,688.4110875005905,ambiguous
seq1223_all_clean_seqs_gap0_no20_0.4,606.0184294871794,609.5888635286062,624.5772813629956,ambiguous
